data;orientacao;midia;tipo_midia;campanha;investimento;impressoes;cliques;visitas;pedidos
05/01/2024;consideracao;midia2;tipo3;ppl;17879,79;2344445;5939;1070;105
05/01/2024;consideracao;midia1;tipo1;1p-2p;43403,17113;50044;8304;6328;1061
05/01/2024;consideracao;midia1;tipo1;3p;21565,44918;33399;3875;1142;89
05/01/2024;consideracao;midia1;tipo1;dsa;1844,5;3551;862;896;23
05/01/2024;consideracao;midia1;tipo1;termos;160,379904;257;40;32;2
05/01/2024;consideracao;midia6;tipo3;display;3922,09;639539;2106;235;16
05/01/2024;conversao;midia1;tipo2;pmax;88307,63701;5865230;135386;74630;2204
06/01/2024;afiliados;midia3;tipo2;afiliados;31020;0;0;390;66
06/01/2024;consideracao;midia2;tipo3;asc;40143,33;6633706;17491;11692;1122
06/01/2024;consideracao;midia2;tipo3;carrossel;5357,55;633663;2930;1206;78
06/01/2024;consideracao;midia2;tipo3;ppl;18031,09;2420790;5885;1071;103
06/01/2024;consideracao;midia1;tipo1;1p-2p;39828,49353;41284;6881;5171;888
06/01/2024;consideracao;midia1;tipo1;3p;22704,87399;37826;4757;1269;90
06/01/2024;consideracao;midia1;tipo1;dsa;1453,28;2631;667;710;18
06/01/2024;consideracao;midia1;tipo1;termos;191,34966;219;29;19;2
06/01/2024;consideracao;midia6;tipo3;display;3900,43;720163;2348;265;17
06/01/2024;conversao;midia1;tipo2;pmax;91988,88111;6041395;152831;84432;2109
07/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;734;176
07/01/2024;consideracao;midia2;tipo3;asc;41476,41;7254170;18541;11864;973
07/01/2024;consideracao;midia2;tipo3;carrossel;6157,08;764358;2985;1171;56
07/01/2024;consideracao;midia2;tipo3;ppl;18359,38;2615079;5964;1082;85
07/01/2024;consideracao;midia1;tipo1;1p-2p;37152,8465;32640;5659;4333;684
07/01/2024;consideracao;midia1;tipo1;3p;26377,43719;39364;6046;1511;102
07/01/2024;consideracao;midia1;tipo1;dsa;981,42;1619;390;408;15
07/01/2024;consideracao;midia1;tipo1;termos;42,43564;124;11;13;0
07/01/2024;consideracao;midia6;tipo3;display;3866,72;718605;2285;251;21
07/01/2024;conversao;midia1;tipo2;pmax;90918,0721;9413772;149764;87242;1687
08/01/2024;afiliados;midia3;tipo2;afiliados;19800;0;0;510;90
08/01/2024;consideracao;midia2;tipo3;asc;40852,04;5499068;16880;11713;1223
08/01/2024;consideracao;midia2;tipo3;carrossel;5771,95;679699;2912;1038;88
08/01/2024;consideracao;midia2;tipo3;ppl;17587,4;2143808;5458;1121;113
08/01/2024;consideracao;midia1;tipo1;1p-2p;51349,91944;45370;7724;5895;841
08/01/2024;consideracao;midia1;tipo1;3p;28705,32031;47604;5202;1678;133
08/01/2024;consideracao;midia1;tipo1;dsa;1912,29;3819;1073;1084;43
08/01/2024;consideracao;midia1;tipo1;termos;429,814761;486;74;47;2
08/01/2024;consideracao;midia6;tipo3;display;3663,469999;684096;2052;235;24
08/01/2024;conversao;midia1;tipo2;pmax;89997,30255;5336161;141890;73919;2107
09/01/2024;afiliados;midia3;tipo2;afiliados;30360;0;0;366;74
09/01/2024;consideracao;midia2;tipo3;asc;40054,55;4674216;17334;11310;1213
09/01/2024;consideracao;midia2;tipo3;carrossel;5492,62;574855;3231;1211;98
09/01/2024;consideracao;midia2;tipo3;ppl;17277,01;1675988;4892;1050;131
09/01/2024;consideracao;midia1;tipo1;1p-2p;53332,43676;47872;8306;6236;1010
09/01/2024;consideracao;midia1;tipo1;3p;24897,23056;43523;4859;1507;125
09/01/2024;consideracao;midia1;tipo1;dsa;1665,04;3281;986;1003;36
09/01/2024;consideracao;midia1;tipo1;termos;237,265067;378;39;31;2
09/01/2024;consideracao;midia6;tipo3;display;2723,28;493314;1545;188;15
09/01/2024;conversao;midia1;tipo2;pmax;91160,89582;5161032;151136;82259;2250
10/01/2024;afiliados;midia3;tipo2;afiliados;9900;0;0;1354;322
10/01/2024;consideracao;midia2;tipo3;asc;33450,43;4068526;22184;11530;1080
10/01/2024;consideracao;midia2;tipo3;carrossel;6653,01;701162;4643;1837;84
10/01/2024;consideracao;midia2;tipo3;ppl;21525,16;2074961;6056;1014;131
10/01/2024;consideracao;midia1;tipo1;1p-2p;52384,70325;45071;7549;5928;1010
10/01/2024;consideracao;midia1;tipo1;3p;21895,71199;39131;4245;1339;131
10/01/2024;consideracao;midia1;tipo1;dsa;1851,9;3997;1282;1255;25
10/01/2024;consideracao;midia1;tipo1;termos;1321,622097;947;178;125;7
10/01/2024;consideracao;midia6;tipo3;display;2748,3;508612;1648;172;21
10/01/2024;conversao;midia1;tipo2;pmax;88555,87141;6862962;80656;75823;2187
11/01/2024;afiliados;midia3;tipo2;afiliados;141405;0;0;1222;192
11/01/2024;consideracao;midia2;tipo3;asc;30249,5;3738328;18001;11516;1206
11/01/2024;consideracao;midia2;tipo3;carrossel;6790,979998;732345;4082;1541;87
11/01/2024;consideracao;midia2;tipo3;ppl;25197,82;2640681;7447;1005;101
11/01/2024;consideracao;midia1;tipo1;1p-2p;51264,75809;42448;7468;5769;924
11/01/2024;consideracao;midia1;tipo1;3p;15903,0369;33215;3250;1124;109
11/01/2024;consideracao;midia1;tipo1;dsa;2724,84;4204;1347;1344;41
11/01/2024;consideracao;midia1;tipo1;termos;1457,628753;937;209;131;20
11/01/2024;consideracao;midia6;tipo3;display;2154,51;447960;1563;151;9
11/01/2024;conversao;midia1;tipo2;pmax;82128,34161;4973513;73928;71227;1848
12/01/2024;afiliados;midia3;tipo2;afiliados;167585;0;0;1034;88
12/01/2024;consideracao;midia2;tipo3;asc;13740,53;1724686;6638;5452;485
12/01/2024;consideracao;midia2;tipo3;carrossel;2917,519999;314093;1499;588;48
12/01/2024;consideracao;midia2;tipo3;ppl;11410,1;1337872;3628;545;35
12/01/2024;consideracao;midia1;tipo1;1p-2p;46885,79033;40848;7246;5490;788
12/01/2024;consideracao;midia1;tipo1;3p;16980,50517;36079;3298;1190;120
12/01/2024;consideracao;midia1;tipo1;dsa;2592,8;4242;1449;1448;62
12/01/2024;consideracao;midia1;tipo1;termos;2626,834014;1847;464;322;46
12/01/2024;consideracao;midia6;tipo3;display;2911;628741;2020;286;13
12/01/2024;conversao;midia1;tipo2;pmax;74262,11562;6124574;70154;68391;1655
13/01/2024;afiliados;midia3;tipo2;afiliados;140965;0;0;1528;242
13/01/2024;consideracao;midia1;tipo1;1p-2p;38312,01852;35492;5224;3949;572
13/01/2024;consideracao;midia1;tipo1;3p;17436,82093;37709;3767;1161;119
13/01/2024;consideracao;midia1;tipo1;dsa;979,17;1645;458;525;21
13/01/2024;consideracao;midia1;tipo1;termos;745,326045;547;130;98;6
13/01/2024;consideracao;midia6;tipo3;display;2950,4;532751;1843;237;12
13/01/2024;conversao;midia1;tipo2;pmax;102080,0313;9013469;99353;84971;1896
14/01/2024;afiliados;midia3;tipo2;afiliados;143550;0;0;1046;90
14/01/2024;consideracao;midia1;tipo1;1p-2p;33389,12734;28891;4015;2937;461
14/01/2024;consideracao;midia1;tipo1;3p;15653,63811;37646;4169;1158;83
14/01/2024;consideracao;midia1;tipo1;dsa;396,44;827;204;257;22
14/01/2024;consideracao;midia1;tipo1;termos;34,967233;126;9;27;1
14/01/2024;consideracao;midia6;tipo3;display;2940,019998;511920;1803;249;17
14/01/2024;conversao;midia1;tipo2;pmax;96325,65307;8063822;99793;80274;1574
15/01/2024;afiliados;midia3;tipo2;afiliados;154048,4;0;0;1072;106
15/01/2024;consideracao;midia2;tipo3;asc;30800,07;3573363;13753;9631;1254
15/01/2024;consideracao;midia2;tipo3;carrossel;4897,99;461633;2655;998;98
15/01/2024;consideracao;midia2;tipo3;ppl;21202,58;2212091;6320;826;109
15/01/2024;consideracao;midia1;tipo1;1p-2p;54290,68965;45765;6222;4610;697
15/01/2024;consideracao;midia1;tipo1;3p;23474,09439;49634;5090;1511;114
15/01/2024;consideracao;midia1;tipo1;dsa;440,36;1385;315;385;23
15/01/2024;consideracao;midia1;tipo1;termos;1880,073365;888;374;272;57
15/01/2024;consideracao;midia6;tipo3;display;2805,47;525495;1712;206;5
15/01/2024;conversao;midia1;tipo2;pmax;121721,6013;7141912;100826;89467;2272
16/01/2024;afiliados;midia3;tipo2;afiliados;167882;0;0;1906;312
16/01/2024;consideracao;midia2;tipo3;asc;53375,09;5436443;19455;13611;1830
16/01/2024;consideracao;midia2;tipo3;carrossel;8340,44;645909;2995;1439;149
16/01/2024;consideracao;midia2;tipo3;ppl;26939,07;2365733;6875;1081;134
16/01/2024;consideracao;midia1;tipo1;1p-2p;56857,7111;49462;5898;4307;581
16/01/2024;consideracao;midia1;tipo1;3p;27445,82622;49858;5807;1659;122
16/01/2024;consideracao;midia1;tipo1;dsa;494,96;1509;280;332;17
16/01/2024;consideracao;midia1;tipo1;termos;7975,247514;3961;1652;1323;279
16/01/2024;consideracao;midia6;tipo3;display;2403,079999;420977;1350;149;8
16/01/2024;conversao;midia1;tipo2;pmax;120632,4006;7730112;100523;89405;2443
17/01/2024;afiliados;midia3;tipo2;afiliados;161013,6;0;0;1220;148
17/01/2024;consideracao;midia2;tipo3;asc;54305,76;5757866;20722;13634;1691
17/01/2024;consideracao;midia2;tipo3;carrossel;8837,64;625394;3403;1513;166
17/01/2024;consideracao;midia2;tipo3;ppl;23706,27;1965669;5928;912;111
17/01/2024;consideracao;midia1;tipo1;1p-2p;48524,84186;43534;4836;3477;562
17/01/2024;consideracao;midia1;tipo1;3p;30974,78929;56667;7217;1875;147
17/01/2024;consideracao;midia1;tipo1;dsa;380,74;1085;212;252;3
17/01/2024;consideracao;midia1;tipo1;termos;19689,41809;11104;2561;1940;355
17/01/2024;consideracao;midia6;tipo3;display;3144,939999;482176;1707;219;14
17/01/2024;conversao;midia1;tipo2;pmax;145833,9302;13137650;152103;125261;2796
18/01/2024;afiliados;midia3;tipo2;afiliados;154090,2;0;0;2266;404
18/01/2024;consideracao;midia2;tipo3;asc;62783,27;7715197;25322;15999;1743
18/01/2024;consideracao;midia2;tipo3;carrossel;8621,169999;699379;3415;1393;123
18/01/2024;consideracao;midia2;tipo3;ppl;24582,09;2493192;6686;914;108
18/01/2024;consideracao;midia1;tipo1;1p-2p;60013,85454;50190;6527;4653;748
18/01/2024;consideracao;midia1;tipo1;3p;35139,41038;59604;8797;2287;171
18/01/2024;consideracao;midia1;tipo1;dsa;449,17;1299;286;314;9
18/01/2024;consideracao;midia1;tipo1;termos;3604,297071;1912;465;424;70
18/01/2024;consideracao;midia6;tipo3;display;2742,57;419218;1375;190;8
18/01/2024;conversao;midia1;tipo2;pmax;170521,0809;13603468;157115;129724;3158
19/01/2024;afiliados;midia3;tipo2;afiliados;5266,8;0;0;1114;140
19/01/2024;consideracao;midia2;tipo3;asc;62337,98;7303386;24672;15387;1469
19/01/2024;consideracao;midia2;tipo3;carrossel;9314,09;720421;3444;1197;114
19/01/2024;consideracao;midia2;tipo3;ppl;32679,39;3543753;8453;940;82
19/01/2024;consideracao;midia1;tipo1;1p-2p;61743,3581;47362;6281;4467;654
19/01/2024;consideracao;midia1;tipo1;3p;29214,85698;51838;6702;1769;125
19/01/2024;consideracao;midia1;tipo1;dsa;274,27;916;196;217;3
19/01/2024;consideracao;midia1;tipo1;termos;1041,462553;1139;147;126;15
19/01/2024;consideracao;midia6;tipo3;display;2597,13;526680;1705;213;10
19/01/2024;conversao;midia1;tipo2;pmax;192971,755;16066735;198139;157001;2984
20/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;820;60
20/01/2024;consideracao;midia2;tipo3;asc;62604,35;7825645;25032;15768;1356
20/01/2024;consideracao;midia2;tipo3;carrossel;9700,639999;754638;3526;1273;84
20/01/2024;consideracao;midia2;tipo3;ppl;32880,99;3531241;8459;931;81
20/01/2024;consideracao;midia1;tipo1;1p-2p;42709,07683;33774;4505;3398;534
20/01/2024;consideracao;midia1;tipo1;3p;29467,449;49747;7119;1713;114
20/01/2024;consideracao;midia1;tipo1;dsa;127,32;450;107;120;3
20/01/2024;consideracao;midia1;tipo1;termos;10791,70378;6641;920;578;80
20/01/2024;consideracao;midia6;tipo3;display;3043,719999;477328;1614;224;16
20/01/2024;conversao;midia1;tipo2;pmax;170692,5896;13751553;162633;137656;2533
21/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;1740;284
21/01/2024;consideracao;midia2;tipo3;asc;70592,91;9271360;28071;16932;1258
21/01/2024;consideracao;midia2;tipo3;carrossel;10930,52;819205;3943;1243;97
21/01/2024;consideracao;midia2;tipo3;ppl;31619,06;3572640;8340;924;88
21/01/2024;consideracao;midia1;tipo1;1p-2p;51571,94535;32194;5088;3720;584
21/01/2024;consideracao;midia1;tipo1;3p;42474,19861;56772;10114;2222;122
21/01/2024;consideracao;midia1;tipo1;dsa;128,24;457;91;123;1
21/01/2024;consideracao;midia1;tipo1;termos;13260,30396;6778;1016;662;86
21/01/2024;consideracao;midia6;tipo3;display;2966,18;450841;1554;212;15
21/01/2024;conversao;midia1;tipo2;pmax;138362,2596;12255856;156274;129699;2103
22/01/2024;afiliados;midia3;tipo2;afiliados;7900,2;0;0;1218;168
22/01/2024;consideracao;midia2;tipo3;asc;85438,75;10578034;32877;19893;1831
22/01/2024;consideracao;midia2;tipo3;carrossel;6432,97;476136;2168;793;80
22/01/2024;consideracao;midia2;tipo3;ppl;29443,19;2973335;7474;696;69
22/01/2024;consideracao;midia1;tipo1;1p-2p;67522,98246;49858;7189;5273;844
22/01/2024;consideracao;midia1;tipo1;3p;41621,46113;66867;10187;2525;176
22/01/2024;consideracao;midia1;tipo1;dsa;211,28;738;135;168;1
22/01/2024;consideracao;midia1;tipo1;termos;18021,90489;10545;1530;1051;151
22/01/2024;consideracao;midia6;tipo3;display;2930,839999;480293;1535;188;12
22/01/2024;conversao;midia1;tipo2;pmax;156022,45;9308545;133457;123749;2792
23/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;848;58
23/01/2024;consideracao;midia2;tipo3;asc;100455,35;10590198;35362;22184;2149
23/01/2024;consideracao;midia2;tipo3;carrossel;156,989999;12763;113;2;0
23/01/2024;consideracao;midia2;tipo3;ppl;30971,4;2933504;7630;36;3
23/01/2024;consideracao;midia2;tipo5;ppl;974,34;62207;420;;
23/01/2024;consideracao;midia1;tipo1;1p-2p;65380,39354;48286;6808;5071;781
23/01/2024;consideracao;midia1;tipo1;3p;35525,89707;57529;8317;2111;160
23/01/2024;consideracao;midia1;tipo1;dsa;248,06;841;186;180;2
23/01/2024;consideracao;midia1;tipo1;termos;10791,57458;7704;1107;756;86
23/01/2024;consideracao;midia6;tipo3;display;2458,86;495646;1509;166;13
23/01/2024;conversao;midia1;tipo2;pmax;165681,6473;11341023;152871;134814;3037
24/01/2024;afiliados;midia3;tipo2;afiliados;2633,4;0;0;1628;324
24/01/2024;consideracao;midia2;tipo3;asc;95496,15;9646180;33288;22359;2007
24/01/2024;consideracao;midia2;tipo3;carrossel;305,8;25076;174;6;0
24/01/2024;consideracao;midia2;tipo3;ppl;34215,85;3639053;9875;37;0
24/01/2024;consideracao;midia2;tipo5;ppl;5111;336542;7572;;
24/01/2024;consideracao;midia1;tipo1;1p-2p;68798,87625;51472;7634;5542;979
24/01/2024;consideracao;midia1;tipo1;3p;26758,21921;50517;6903;1772;147
24/01/2024;consideracao;midia1;tipo1;dsa;263,16;970;189;212;3
24/01/2024;consideracao;midia1;tipo1;termos;3522,987934;3205;386;249;24
24/01/2024;consideracao;midia6;tipo3;display;2844,91;506618;1564;149;14
24/01/2024;conversao;midia1;tipo2;pmax;179906,4034;14367112;172360;147181;3121
25/01/2024;afiliados;midia3;tipo2;afiliados;2633,4;0;0;968;116
25/01/2024;consideracao;midia2;tipo3;asc;98022,94;8705030;32626;17935;1643
25/01/2024;consideracao;midia2;tipo3;carrossel;336,9;24951;139;4;0
25/01/2024;consideracao;midia2;tipo3;ppl;31148,63;3273278;8406;20;0
25/01/2024;consideracao;midia2;tipo5;ppl;5002,66;325445;5977;;
25/01/2024;consideracao;midia1;tipo1;1p-2p;55088,16284;43254;6159;4493;850
25/01/2024;consideracao;midia1;tipo1;3p;23766,72631;50842;7465;1829;126
25/01/2024;consideracao;midia1;tipo1;dsa;378,77;1075;238;265;20
25/01/2024;consideracao;midia1;tipo1;termos;7325,454385;5455;693;433;48
25/01/2024;consideracao;midia6;tipo3;display;2386,099999;375361;1314;147;10
25/01/2024;conversao;midia1;tipo2;pmax;192259,0183;13875202;170911;142084;2879
26/01/2024;afiliados;midia3;tipo2;afiliados;5266,8;0;0;666;62
26/01/2024;consideracao;midia2;tipo3;asc;103905,38;10186850;40083;17751;1401
26/01/2024;consideracao;midia2;tipo3;carrossel;406,67;37317;349;5;0
26/01/2024;consideracao;midia2;tipo3;ppl;24458,2;2597420;6956;20;0
26/01/2024;consideracao;midia2;tipo5;ppl;4984,96;294692;4569;;
26/01/2024;consideracao;midia1;tipo1;1p-2p;37801,99107;35195;4792;3692;676
26/01/2024;consideracao;midia1;tipo1;3p;15218,36949;38952;5407;1390;99
26/01/2024;consideracao;midia1;tipo1;dsa;679,21;1590;385;387;21
26/01/2024;consideracao;midia1;tipo1;termos;7960,225645;6397;891;562;68
26/01/2024;consideracao;midia6;tipo3;display;3253,34;539707;1691;174;12
26/01/2024;conversao;midia1;tipo2;pmax;231584,6123;21928418;250156;191649;3034
27/01/2024;afiliados;midia3;tipo2;afiliados;5926,8;0;0;1320;214
27/01/2024;consideracao;midia2;tipo3;asc;108362,64;11321326;43608;19158;1365
27/01/2024;consideracao;midia2;tipo3;carrossel;368,749999;35847;315;2;0
27/01/2024;consideracao;midia2;tipo3;ppl;20706,15;2339887;6458;20;0
27/01/2024;consideracao;midia2;tipo5;ppl;4901,11;344894;6319;;
27/01/2024;consideracao;midia1;tipo1;1p-2p;28929,71514;30521;3949;3072;566
27/01/2024;consideracao;midia1;tipo1;3p;9506,140266;28534;3700;952;75
27/01/2024;consideracao;midia1;tipo1;dsa;843,67;1714;455;449;13
27/01/2024;consideracao;midia1;tipo1;termos;4176,126663;3321;489;316;34
27/01/2024;consideracao;midia6;tipo3;display;2759,77;578755;1857;182;9
27/01/2024;conversao;midia1;tipo2;pmax;161223,2604;16098756;175995;142664;2197
28/01/2024;afiliados;midia3;tipo2;afiliados;660;0;0;752;80
28/01/2024;consideracao;midia2;tipo3;asc;111694,51;11095816;37130;18860;1657
28/01/2024;consideracao;midia2;tipo3;carrossel;181,72;16137;109;4;0
28/01/2024;consideracao;midia2;tipo3;ppl;24320,56;2400180;6542;11;0
28/01/2024;consideracao;midia2;tipo5;ppl;5262,879999;435833;5642;;
28/01/2024;consideracao;midia1;tipo1;1p-2p;21297,79667;24049;3206;2428;429
28/01/2024;consideracao;midia1;tipo1;3p;5663,68696;21921;2183;639;63
28/01/2024;consideracao;midia1;tipo1;dsa;1236,47;1980;635;608;21
28/01/2024;consideracao;midia1;tipo1;termos;1726,236266;1828;243;160;19
28/01/2024;consideracao;midia6;tipo3;display;2921,69;495553;1692;197;12
28/01/2024;conversao;midia1;tipo2;pmax;160510,9253;14718521;167688;135327;2169
29/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;1154;156
29/01/2024;consideracao;midia2;tipo3;asc;124761,84;11365330;39636;21697;1541
29/01/2024;consideracao;midia2;tipo3;carrossel;102,59;10623;63;2;0
29/01/2024;consideracao;midia2;tipo3;ppl;29205,95;2765129;7727;15;0
29/01/2024;consideracao;midia2;tipo5;ppl;5129,83;436141;6158;;
29/01/2024;consideracao;midia1;tipo1;1p-2p;26709,00108;34038;4520;3564;588
29/01/2024;consideracao;midia1;tipo1;3p;4651,424439;18876;1295;578;57
29/01/2024;consideracao;midia1;tipo1;dsa;3007,98;4863;1457;1408;65
29/01/2024;consideracao;midia1;tipo1;termos;1689,703331;1766;324;255;20
29/01/2024;consideracao;midia6;tipo3;display;3237,379998;472521;1462;197;19
29/01/2024;conversao;midia1;tipo2;pmax;200198,6476;13977744;176076;151263;2387
30/01/2024;afiliados;midia3;tipo2;afiliados;;0;0;1356;216
30/01/2024;consideracao;midia2;tipo3;asc;142395,21;12619932;45669;25713;2233
30/01/2024;consideracao;midia2;tipo3;carrossel;149,18;14927;93;1;0
30/01/2024;consideracao;midia2;tipo3;ppl;26970,24;2636001;7394;23;0
30/01/2024;consideracao;midia2;tipo5;ppl;5041,18;358695;4714;;
30/01/2024;consideracao;midia1;tipo1;1p-2p;21055,40169;29054;4077;3199;685
30/01/2024;consideracao;midia1;tipo1;3p;3218,441214;16372;993;489;66
30/01/2024;consideracao;midia1;tipo1;dsa;4198,31;6048;1831;1793;115
30/01/2024;consideracao;midia1;tipo1;termos;1925,630438;2232;377;261;33
30/01/2024;consideracao;midia6;tipo3;display;2929,21;466681;1406;167;27
30/01/2024;conversao;midia1;tipo2;pmax;175502,1003;12563044;158510;138803;2804
31/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;648;74
31/01/2024;consideracao;midia2;tipo3;asc;141603,81;13394093;50206;28175;2351
31/01/2024;consideracao;midia2;tipo3;carrossel;247,78;24636;150;2;0
31/01/2024;consideracao;midia2;tipo3;ppl;25133,31;2613624;7286;20;1
31/01/2024;consideracao;midia2;tipo5;ppl;4979,49;337697;4787;;
31/01/2024;consideracao;midia1;tipo1;1p-2p;17425,34951;23665;3423;2830;636
31/01/2024;consideracao;midia1;tipo1;3p;2235,092498;11448;684;401;60
31/01/2024;consideracao;midia1;tipo1;dsa;3582,47;5730;1660;1645;67
31/01/2024;consideracao;midia1;tipo1;termos;6687,30569;6888;1432;964;114
31/01/2024;consideracao;midia6;tipo3;display;2108,5;456070;1511;107;8
31/01/2024;conversao;midia1;tipo2;pmax;182608,1629;12864419;158805;133571;2693
01/02/2024;afiliados;midia3;tipo2;afiliados;149545;0;0;716;64
01/02/2024;consideracao;midia2;tipo3;asc;95520,7;10012793;38971;22961;1755
01/02/2024;consideracao;midia2;tipo3;carrossel;299,15;28745;201;;
01/02/2024;consideracao;midia2;tipo3;ppl;16888,62;1884992;5320;13;0
01/02/2024;consideracao;midia2;tipo5;ppl;9264,36;844410;10029;;
01/02/2024;consideracao;midia1;tipo1;1p-2p;19140,29886;27029;3840;3106;677
01/02/2024;consideracao;midia1;tipo1;3p;2894,549059;14531;948;495;63
01/02/2024;consideracao;midia1;tipo1;dsa;3580,84;5618;1807;1770;107
01/02/2024;consideracao;midia1;tipo1;termos;3020,80043;4171;670;485;63
01/02/2024;consideracao;midia6;tipo3;display;2771,61;521609;1762;135;8
01/02/2024;conversao;midia1;tipo2;pmax;141921,9644;9675576;123560;113160;2419
02/02/2024;afiliados;midia3;tipo2;afiliados;114565;0;0;1626;342
02/02/2024;consideracao;midia2;tipo3;asc;81161,5;7894446;46023;32391;1455
02/02/2024;consideracao;midia2;tipo3;carrossel;192,92;19668;229;;
02/02/2024;consideracao;midia2;tipo3;ppl;13659,41;1685645;5828;10;0
02/02/2024;consideracao;midia2;tipo5;ppl;15541;1351182;12261;;
02/02/2024;consideracao;midia1;tipo1;1p-2p;23843,46794;29720;4008;3134;621
02/02/2024;consideracao;midia1;tipo1;3p;4063,153176;15805;1095;553;73
02/02/2024;consideracao;midia1;tipo1;dsa;3501,94;4973;1563;1602;135
02/02/2024;consideracao;midia1;tipo1;termos;1610,023618;2107;321;228;25
02/02/2024;consideracao;midia6;tipo3;display;2593,67;440933;1529;122;4
02/02/2024;conversao;midia1;tipo2;pmax;151224,2372;12036753;131441;112992;2256
03/02/2024;afiliados;midia3;tipo2;afiliados;112750;0;0;874;96
03/02/2024;consideracao;midia2;tipo3;asc;86429,67;8864463;55988;43589;1282
03/02/2024;consideracao;midia2;tipo3;carrossel;391,96;44632;432;;
03/02/2024;consideracao;midia2;tipo3;ppl;16369,38;2249813;7846;5;0
03/02/2024;consideracao;midia2;tipo5;ppl;10,58;632;9;;
